views,likes,dislikes
1846408,156633,1952
933653,38818,484
12844847,184376,6289
466542,23922,781
1790681,72981,477
2867208,73139,3952
215902,1985,150
934970,55071,803
3047060,67622,1077
1291213,14163,534
5226174,158317,1865
552005,38674,586
18698787,535018,17589
522615,6021,278
525273,9048,133
1279419,16484,979
4541917,652584,5591
284261,10713,2575
332721,2664,110
822383,55564,392
3684286,25525,3072
361908,32928,533
6273721,215002,6030
2112371,31709,1313
793060,21069,223
1924273,31605,627
755502,13654,291
12824067,117794,21242
1917865,36192,457
2030251,121196,1020
723213,3791,433
86698741,1659603,62358
6966225,464629,18133
6720435,54849,9510
636705,65215,546
1261176,159808,1277
4013009,210907,2610
269068,20722,90
934128,7109,127
193780,5324,211
4133726,31009,5230
4954843,85542,1520
1373983,53013,748
10273033,646487,8976
560915,43312,1277
510110,4598,174
1688467,15317,747
1143105,76541,17896
748283,6554,190
9501598,200730,4541
1697401,73625,2047
1681559,103020,1382
443171,15477,688
327106,23180,294
5809760,164839,2125
3766315,78295,1473
277663,3279,215
2899506,202817,1840
48701962,1260345,59955
3496908,697993,1266
595695,2353,303
36844371,583523,11023
1422468,10817,596
1949250,50858,4799
3611711,100345,1133
11843412,731707,5812
8871341,453103,10863
1159175,14960,385
2295488,53465,961
1639099,64805,908
532622,37110,425
5065802,427183,7509
800852,6944,295
3390795,117005,2377
67849,5414,84
1126727,49901,571
594593,15074,882
8109166,827819,10377
12386521,353009,3473
157284658,2361547,41775
1697253,93501,1545
892182,34682,120
192180,6959,264
198517,9945,240
1312694,58932,485
2972648,72440,2289
5583292,219280,2796
226528,6738,235
1281671,21681,591
520617,30824,373
352320,4206,62
247702,9155,252
10917522,221273,3630
218991,14197,610
458676,4189,159
147955,10792,188
1807035,97438,1040
629305,6160,164
2570072,91966,1540
93472,13039,77
8907369,164016,2252
249025,9819,273
415753,9841,627
4099354,232248,2267
4516233,66053,1406
1188258,80985,1026
456523,77749,461
1151572,88399,528
9485860,346748,3435
179599,9361,361
5729121,143038,3786
102200,12636,23
4167460,312601,8631
650526,23017,310
11537783,229728,4383
1070873,38326,819
66021,732,14
7055303,113859,3637
37042961,11307,3855
447964,5626,209
655193,12153,1143
676093,26140,374
547548,14010,634
5741232,303885,3497
48862195,752256,20645
768180,35017,624
827986,3315,217
8493988,572945,2583
124805,1501,50
271945,7447,97
2554538,246338,739
4364715,130995,2935
5452618,503156,2460
356127,2277,75
735937,11517,373
1205158,76510,260
145492,20210,1127
1339671,21013,4114
5150332,173315,1788
18247856,387636,31674
230419,26879,1530
1366716,26788,616
5566782,130233,9937
260497,31847,403
18206450,470233,14194
2527459,123137,1335
129636,12337,1261
2253557,93988,1345
7750968,434765,6447
304680,13758,307
864460,36487,1542
134984,5802,36
24937432,344869,6539
2604560,39620,1555
1422013,96387,335
44042630,2841061,15230
4617787,198082,3882
4664041,416528,4483
1677553,68666,657
1130037,83512,912
4208090,235355,1603
89683,4275,35
266878,5236,93
633861,37093,134
925277,46077,427
1673352,104280,558
692746,8916,238
120440,4911,171
1486746,25126,374
4210976,251668,2435
2857813,159696,1495
346096,16916,200
1173158,68669,685
3625307,177600,1831
641256,11317,544
586082,3096,154
44945,7298,61
783574,8497,438
707763,8836,144
310060,6456,1404
164884,3353,64
962468,39156,371
1595298,53941,1130
272178,21731,123
346392,11266,41
359823,10138,333
353273,25872,491
655192,5134,213
4838341,377975,7894
3726448,168122,4608
1558810,119859,422
424280,16149,136
3004727,166187,679
2111230,21062,1928
16356148,508820,8061
209454,3379,74
6348135,202692,13409
317430,25506,354
950370,38403,561
773810,26465,390
489364,5588,106
2465672,174072,2690
2049916,20033,674
2436858,147347,980
5954553,272939,4364
225295,5101,488
3707904,181421,1129
593218,29875,606
15547126,74761,9643
1317924,64759,631
3751053,63104,1215
866086,11953,203
1600603,21182,572
7814004,116159,7336
13214134,98188,5269
251479,18460,144
894116,16496,586
2793767,305417,2322
622783,34974,662
513695,6783,1364
838218,105403,510
742165,6718,127
1247621,62587,2112
299240,4714,262
694666,9106,381
81507,2098,26
241696,36401,341
1329186,115091,605
3914728,70676,1850
397198,22508,412
2009567,26793,1283
408564,24178,301
2443506,92224,1447
872793,36941,582
5106540,363118,1508
36312874,941972,8829
3004433,43082,621
7563891,491165,21392
2607919,74313,706
1451427,69435,734
2730745,79753,1323
245441,6125,65
98677,7435,89
585389,3316,1998
15353991,1313424,26266
5730168,230772,8894
5174310,84972,1555
132862,1456,55
151293,10632,111
35845459,840542,14585
96713,2859,244
1246913,35119,530
2137119,62900,797
66137,573,18
28402562,961506,48172
2050901,67385,1200
2523948,192463,1841
1008730,42206,286
2026454,185943,2272
4197437,57305,3604
3098078,182137,3450
2865053,87256,1086
2020170,211541,1429
2577712,211991,3065
1436926,74444,1091
1944518,118206,2288
960653,10440,4458
10749812,152684,6550
119967,1297,132
61637,2041,135
14240994,692621,7302
436545,7596,200
529050,25281,1472
486957,3234,83
487835,14182,183
1356630,119611,2106
1512827,148351,2876
770166,26863,185
19930117,840338,25723
621874,27418,1233
205251,6213,323
50622,1119,11
5987606,54483,2005
7708200,510829,11286
516787,5822,242
2352811,30276,2510
790784,4744,235
315237,2346,141
863667,7218,370
922232,52369,382
216522,10697,164
1368611,34501,957
226036,2793,163
914305,33903,3580
176196,7666,105
38127880,481613,45682
1163682,37949,574
437356,14537,297
363902,30646,344
298565,8876,126
5611619,83370,3601
422905,16616,468
624660,33623,352
3896025,132216,1777
4826087,163083,1236
160115,7328,160
132210,665,2081
1608267,6025,565
1150480,126627,485
953261,51148,579
106417,5991,116
863562,22688,771
378937,9224,312
435973,17393,115
489439,17179,144
299752,11096,82
84593,1152,19
1014727,43646,1075
14425384,636689,10552
878959,30343,643
967367,19916,757
2645822,68650,516
2812227,104302,1122
10900496,563605,6658
3486682,50296,3880
97651,991,21
19140097,136071,4666
6156854,206262,2208
61884,3614,34
203645,1318,27
1536896,69407,723
33009147,451683,6705
204635,4022,201
1136201,79854,1494
2398046,103890,1686
285772,17739,107
333903,18838,372
752080,41953,419
151249,16033,110
605065,43134,141
13323137,133332,4620
7242313,95123,4502
684145,8535,274
676638,31147,761
1031687,67778,872
87531,5658,19
233993,9523,189
138261,6281,220
16115760,945153,17225
2465931,73768,959
203866,4806,143
12526086,701661,9855
3215146,74809,369
1296495,16372,622
324976,15598,684
1056501,15043,779
5465622,196448,2688
2925634,132138,1796
2123632,26500,848
3378396,19341,4309
8018321,357385,5019
799842,64718,4025
345407,55016,1144
316153,27433,100
12148694,142944,5036
15585553,49452,1402
6300538,317856,7438
1822587,10829,727
4626527,123863,1549
197388,9476,121
5821312,280621,7005
2698989,69716,3026
259803,24363,200
4946300,231606,1639
248672,2619,69
931069,22110,407
1571338,77337,1261
3028476,38325,431
528026,38175,133
46992240,849159,10878
27035203,1909949,16524
625555,5562,310
2909044,79542,1648
39936227,1705368,10818
3558693,150490,2643
1388889,27361,808
1468015,81556,4907
2843233,77300,1415
1525613,83892,1553
815660,21831,197
9323919,130004,4143
5313876,326091,1016
12662332,2426630,15390
621185,84429,434
4649563,157327,1081
9751682,120618,5369
6825518,92375,5632
926094,54520,1675
245700,22681,773
724653,17999,1513
5625522,438302,9764
2018266,22962,2011
3846072,147101,3394
1548231,29639,1320
369724,4326,339
10030969,431207,3488
742849,21964,530
789024,65865,499
12615291,80449,2870
529861,3620,120
194631,9789,199
1647563,113809,931
1592081,11978,1455
2831457,51164,909
2470147,181643,2055
163662,5171,176
4911599,175971,3727
26386928,735371,13246
11230272,144626,3040
8348724,226874,11477
1032831,41882,882
9362489,279244,4203
620155,7472,169
635463,16781,481
680713,67692,279
803634,30047,418
11778970,325085,17901
486376,33759,342
2107914,106991,3501
4589094,117370,6970
12452208,427928,10247
436440,56778,162
361176,12476,171
1450821,21461,444
3742930,86479,1893
180849,5633,557
1308832,81723,1886
5834026,303818,2339
28083014,1143356,15652
323130,1981,381
7406694,210646,3004
43813187,680299,5655
1210363,161894,1030
1941719,62360,886
25035222,1344142,71062
3670370,67040,1630
250939,6645,192
8489687,99009,4985
210098,8524,85
2153995,71300,505
17481850,447467,9040
155448,5683,213
467902,4305,142
1715080,18291,637
18085869,174313,4573
5531063,272053,2903
1752786,148752,1845
1165918,24925,551
293792,16571,190
8307923,278738,2047
270779,14256,57
18008560,519929,4209
2153664,38741,1253
3209698,33022,1649
2431970,75856,1906
4489733,60899,1320
1495953,70722,967
25657340,519229,11196
652934,11120,156
449188,6483,314
1360082,6802,1315
438938,18370,118
60759,4745,29
1875138,99148,1403
480145,21094,326
587856,12862,338
186030,15277,262
2845570,188999,1268
463711,4149,164
2537568,118544,618
379174,20234,291
133424,2015,172
1859666,41981,2261
4094214,91209,1213
6567456,163910,955
1276163,86777,1620
429849,7753,157
10372316,284863,4467
710673,64430,547
2033673,115162,1751
835455,38246,292
367460,14527,208
661922,66336,240
1066303,47847,584
2117407,39259,648
1048205,47952,280
327792,2066,747
344511,4149,95
1156736,36553,935
361015,17233,278
21000291,279451,9780
4199164,145730,4023
2485480,64940,1816
996902,4285,583
47301666,1948935,62066
2434325,323304,1060
1779061,89658,680
609966,36270,1710
1830098,149447,1979
494661,23810,570
1605597,77675,2371
2532837,47453,1187
22931527,434110,2066
660952,13085,394
382030,26892,103
800315,46734,1124
24239439,203882,12587
9915521,214748,3987
2470049,58780,655
5675115,112121,1459
1558137,24136,16354
455497,8970,65
760687,2495,1003
448393,6134,107
2399006,27834,937
1832169,47882,398
604237,37918,401
2012239,41503,999
114778,1653,74
2092153,179002,1011
2730091,164111,8335
6017336,75073,1629
271129,15050,912
20341117,480855,9024
3172768,376280,3370
18826907,681197,14626
758079,14665,263
147860,5376,30
283934,10962,81
573591,16571,238
7804137,159474,2227
1184638,95333,1117
230178,13627,124
7379225,1196178,12032
594061,22255,470
14299386,274209,6818
1863171,28178,286
4387720,144186,4027
6509029,246670,3744
9409080,519254,18499
4735187,103220,1736
154598,190,96
1943665,80293,897
21729362,633864,61733
725644,18796,448
573368,5334,280
1304519,6524,402
2451534,165043,2344
333416,10993,383
1319152,27272,1007
521376,67714,178
593101,28148,294
32171,222,242
92741,1689,40
644455,5983,116
270297,15856,261
79879,3126,232
1435846,85438,534
3376893,78339,1389
1160244,68901,290
1482956,79455,749
863120,59798,712
803007,41628,2183
350076,13893,160
504076,6860,710
843050,42931,1242
269358,14164,93
506140,4428,2146
779715,14248,359
2951627,45560,1916
1239702,174331,2233
225387,5583,95
11988330,401401,12643
5061272,647401,7091
703345,3055,265
